text,title
"YouTube Subscriptions","YouTube Subscriptions"
"McGovern Institute","McGovern Institute",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCDqKkRpDCSqPx8kGn0aTIZw
"Jane Street","Jane Street",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCDsVC_ewpcEW_AQcO-H-RDQ
"MIT OpenCourseWare","MIT OpenCourseWare",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCEBb1b_L6zDS3xTUrIALZOw
"ProApp Learn Design","ProApp Learn Design",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCEq8izEyl9s0mfqUYfsnAMQ
"Allen Institute for AI","Allen Institute for AI",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCEqgmyWChwvt6MFGGlmUQCQ
"Khosla Ventures","Khosla Ventures",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCF92qR15QflJFGO7c_PeT-g
"IEEE Spectrum","IEEE Spectrum",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCFQDtftsHGzSh1-TReNT4lA
"Web Dev Simplified","Web Dev Simplified",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCFbNIlppjAuEX4znoulh0Cw
"Massachusetts Institute of Technology (MIT)","Massachusetts Institute of Technology (MIT)",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCFe-pfe0a9bDvWy74Jd7vFg
"Strong Medicine","Strong Medicine",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCFq5vPnNRNNNysLrktz4aSw
"MedCram - Medical Lectures Explained CLEARLY","MedCram - Medical Lectures Explained CLEARLY",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCG-iSMVtWbbwDDXgXXypARQ
CS186Berkeley,CS186Berkeley,rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCG50NrblEgrTaNssZ0EIDog
"Stanford Graduate School of Business","Stanford Graduate School of Business",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCGwuxdEeCf0TIA2RbPOj-8g
"Stanford Medicine 25","Stanford Medicine 25",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCGxGC5RCVFOEebFfepv6frQ
"It's Okay To Be Smart","It's Okay To Be Smart",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCH4BNI0-FOK2dMXoFtViWHw
"CNBC Make It.","CNBC Make It.",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCH5_L3ytGbBziX0CLuYdQ1Q
"Robotic Systems Lab","Robotic Systems Lab",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCHjP785620I8LFjSxf_CJCw
HuggingFace,HuggingFace,rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCHlNU7kIZhRgSbhHvFoy72w
"CMU Database Group","CMU Database Group",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCHnBsf2rH-K7pn09rb3qvkA
"Kenhub - Learn Human Anatomy","Kenhub - Learn Human Anatomy",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCHn_K1zOBYZqtmIYkXLEIQw
Veritasium,Veritasium,rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCHnyfMqiRRG1u-2MsSQLbXA
NVIDIA,NVIDIA,rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCHuiy8bXnmK5nisYHUd1J5g
"Professor G","Professor G",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCHw7jjaJE_QGk2Mg3i4KEtA
"Graduate Mathematics","Graduate Mathematics",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCI2xq9OXUSbQGb3GdKx_ixg
BPS.space,BPS.space,rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCILl8ozWuxnFYXIe2svjHhg
"DAC TV","DAC TV",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCIS3weT0CfLh7Bj8NmhYvxg
"iBiology Science Stories","iBiology Science Stories",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCIWTT30C_MXMgz1A_S81t2g
"USENIX Enigma Conference","USENIX Enigma Conference",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCIdV7bE97mSPTH1mOi_yUrw
"Peter Schiff","Peter Schiff",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCIjuLiLHdFxYtFmWlbTGQRQ
"Onur Mutlu Lectures","Onur Mutlu Lectures",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCIwQ8uOeRFgOEvBLYc3kc3g
"Physics Videos by Eugene Khutoryansky","Physics Videos by Eugene Khutoryansky",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCJ0yBou72Lz9fqeMXh9mkog
"Black Hat","Black Hat",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCJ6q9Ie29ajGqKApbLqfBOg
"Virtual Insider","Virtual Insider",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCJFSq0-05sUbvgJYV8biODg
"Lex Clips","Lex Clips",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCJIfeSCssxSC_Dhc5s7woww
"Lockheed Martin","Lockheed Martin",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCJWcF0ex7_doPdIQGbVpDsQ
"Smruti R. Sarangi","Smruti R. Sarangi",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCJYcpR8NLuYgAJpH73-4n9A
thenewboston,thenewboston,rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCJbPGzawDH1njbqV-D5HqKw
"Second Thought","Second Thought",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCJm2TgUqtK1_NLBrjNQ1P-w
"ARK Invest","ARK Invest",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCK-zlnUfoDHzUwXcbddtnkg
DevDuck,DevDuck,rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCKCTmact-90hXpV2ns8GSsA
"Geek's Lesson","Geek's Lesson",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCKXx22vOENUyHrVAADq7Z_g
"MIT Sloan Executive Education","MIT Sloan Executive Education",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCKgamS4zSNmq7r7tQB6niLw
"The Kids Are In Charge","The Kids Are In Charge",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCKj_FalLDOFtiAlsQwLTayQ
"Bessemer Venture Partners","Bessemer Venture Partners",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCKuHAxZoh99t8uyPQhoDR3A
"Futurism Originals","Futurism Originals",rss,https://www.youtube.com/feeds/videos.xml?channel_id=UCL37jBJ-xpoSZ63v4_H6BUw
